order_id,order_date,product_id,product_name,category,quantity_sold,unit_price,total_amount,customer_id,payment_method,order_status
O001,2026-02-01,P001,Samsung Galaxy A15,Electronics,1,24500,24500,C001,M-Pesa,Delivered
O002,2026-02-01,P016,Unga Wa Dola 2kg,Groceries,3,210,630,C002,Cash,Delivered
O003,2026-02-02,P006,Men's Slim Fit Jeans,Fashion,1,2200,2200,C003,Card,Delivered
O004,2026-02-02,P011,Nivea Body Lotion 400ml,Beauty,2,850,1700,C004,M-Pesa,Delivered
O005,2026-02-03,P003,JBL Tune 510BT Headphones,Electronics,1,6500,6500,C005,Card,Delivered
O006,2026-02-03,P018,Ajab Wheat Flour 2kg,Groceries,2,240,480,C006,Cash,Delivered
O007,2026-02-04,P021,Throw Pillow Set,Home & Living,1,1800,1800,C007,M-Pesa,Delivered
O008,2026-02-04,P008,Classic White Sneakers,Footwear,1,3200,3200,C008,Card,Delivered
O009,2026-02-05,P019,Golden Fry Cooking Oil 1L,Groceries,2,330,660,C009,Cash,Delivered
O010,2026-02-05,P012,Garnier Micellar Water,Beauty,1,950,950,C010,M-Pesa,Delivered
O011,2026-02-06,P002,Redmi Note 13,Electronics,1,28500,28500,C011,Card,Delivered
O012,2026-02-06,P007,Women's Oversized Hoodie,Fashion,1,2800,2800,C012,Cash,Delivered
O013,2026-02-07,P014,Dove Roll-On Deodorant,Beauty,2,450,900,C013,M-Pesa,Delivered
O014,2026-02-07,P022,Laundry Basket,Home & Living,1,950,950,C014,Card,Delivered
O015,2026-02-08,P026,Men's Running Shoes,Footwear,1,4200,4200,C015,Cash,Delivered
O016,2026-02-08,P009,Men's Leather Belt,Fashion,1,1200,1200,C016,M-Pesa,Delivered
O017,2026-02-09,P020,Kabras Sugar 2kg,Groceries,3,290,870,C017,Card,Delivered
O018,2026-02-09,P004,Oraimo 20000mAh Power Bank,Electronics,1,3500,3500,C018,Cash,Delivered
O019,2026-02-10,P013,Maybelline Fit Me Foundation,Beauty,1,1200,1200,C019,M-Pesa,Delivered
O020,2026-02-10,P023,LED Desk Lamp,Home & Living,1,2200,2200,C020,Card,Delivered
O021,2026-02-11,P027,Women's Flat Sandals,Footwear,1,1800,1800,C021,Cash,Delivered
O022,2026-02-11,P028,School Backpack,Fashion,1,2500,2500,C022,M-Pesa,Delivered
O024,2026-02-12,P005,HP Wireless Mouse,Electronics,2,1800,3600,C024,Cash,Delivered
O025,2026-02-13,P017,Brookside Milk 500ml,Groceries,5,65,325,C025,M-Pesa,Delivered
O026,2026-02-13,P010,Women's Handbag,Fashion,1,3500,3500,C026,Card,Delivered
O027,2026-02-14,P024,Non-Stick Frying Pan,Home & Living,1,2600,2600,C027,Cash,Delivered
O028,2026-02-14,P029,Smartwatch Series Fit,Electronics,1,7200,7200,C028,M-Pesa,Delivered
O029,2026-02-15,P030,Cerave Foaming Cleanser,Beauty,1,1700,1700,C029,Card,Delivered
O030,2026-02-15,P025,Wall Clock,Home & Living,1,1500,1500,C030,Cash,Delivered
O031,2026-02-16,P001,Samsung Galaxy A15,Electronics,1,24500,24500,C031,M-Pesa,Delivered
O032,2026-02-16,P016,Unga Wa Dola 2kg,Groceries,4,210,840,C032,Card,Delivered
O033,2026-02-17,P011,Nivea Body Lotion 400ml,Beauty,2,850,1700,C033,Cash,Delivered
O034,2026-02-17,P006,Men's Slim Fit Jeans,Fashion,1,2200,2200,C034,M-Pesa,Delivered
O035,2026-02-18,P003,JBL Tune 510BT Headphones,Electronics,1,6500,6500,C035,Card,Delivered
O036,2026-02-18,P018,Ajab Wheat Flour 2kg,Groceries,2,240,480,C036,Cash,Delivered
O037,2026-02-19,P021,Throw Pillow Set,Home & Living,1,1800,1800,C037,M-Pesa,Delivered
O038,2026-02-19,P008,Classic White Sneakers,Footwear,1,3200,3200,C038,Card,Delivered
O039,2026-02-20,P019,Golden Fry Cooking Oil 1L,Groceries,2,330,660,C039,Cash,Delivered
O040,2026-02-20,P012,Garnier Micellar Water,Beauty,1,950,950,C040,M-Pesa,Delivered
O041,2026-02-21,P002,Redmi Note 13,Electronics,1,28500,28500,C041,Card,Delivered
O042,2026-02-21,P007,Women's Oversized Hoodie,Fashion,1,2800,2800,C042,Cash,Delivered
O043,2026-02-22,P014,Dove Roll-On Deodorant,Beauty,2,450,900,C043,M-Pesa,Delivered
O044,2026-02-22,P022,Laundry Basket,Home & Living,1,950,950,C044,Card,Delivered
O045,2026-02-23,P026,Men's Running Shoes,Footwear,1,4200,4200,C045,Cash,Delivered
O046,2026-02-23,P009,Men's Leather Belt,Fashion,1,1200,1200,C046,M-Pesa,Delivered
